ID,Type,Age,Sex,I have previous experience with electric vehicles,I have previous experience with being in Virtual Reality,"It was easy to drive the entire distance without running out of battery
","I was sure from the beginning, that I would reach the destination without running out of battery
","How sure I was about reaching the destination, without running out of battery, changed throughout the drive
","I found the dashboard to be reliable
","I found the dashboard useful for completing the task
","The displayed remaining distance agreed with the distance I could drive
","I felt I understood what affected the remaining distance displayed by the dashboard
","I felt I could influence the displayed remaining distance
","The dashboard was difficult to understand
","I felt the dashboard lacked information for completing the task
"
2,Diff,25,M,3,5,5,2,7,2,5,2,5,7,5,1
4,Diff,23,M,5,2,5,1,5,5,1,6,5,5,2,3
6,Diff,56,M,4,2,7,2,2,5,6,6,6,6,3,5
8,Diff,21,M,3,1,7,3,5,7,7,7,6,7,2,1
10,Diff,20,F,1,1,1,1,4,7,6,7,7,4,1,1
12,Diff,26,M,1,2,6,4,5,5,6,4,6,6,1,3
14,Diff,28,F,1,5,5,2,4,5,5,6,5,4,5,2
16,Diff,52,M,2,4,3,2,6,4,3,5,3,2,4,4
18,Diff,27,M,1,7,4,3,7,7,7,7,6,6,2,1
20,Diff,52,M,1,2,6,3,6,2,6,2,3,6,5,3
22,Diff,23,M,4,2,4,2,6,6,7,7,6,6,3,2
24,Diff,24,M,2,2,6,7,3,6,6,6,7,6,2,2
26,Diff,35,M,1,7,5,2,5,7,7,6,7,1,1,1
28,Diff,19,M,2,2,3,4,5,4,3,5,5,5,5,3
30,Diff,19,M,6,1,5,6,4,5,6,6,7,6,2,4
32,Diff,30,F,1,1,1,1,6,2,2,4,4,3,2,5
1,Guess,24,M,0,6,6,3,4,4,5,6,5,7,3,3
3,Guess,20,M,3,3,7,1,7,7,7,5,7,7,2,4
5,Guess,57,F,2,1,3,5,3,5,5,5,4,4,2,2
7,Guess,62,M,1,1,3,5,2,4,6,6,6,7,2,2
9,Guess,59,M,2,6,6,4,1,6,7,6,6,7,1,1
11,Guess,25,M,3,2,6,6,2,7,7,7,7,7,1,1
13,Guess,21,M,6,2,6,5,6,7,5,6,6,7,1,7
15,Guess,27,M,2,4,1,2,2,4,5,1,2,3,1,3
17,Guess,26,F,2,2,3,1,5,5,4,6,5,4,3,4
19,Guess,28,M,5,4,2,3,6,5,6,5,3,4,1,4
21,Guess,41,F,6,2,5,3,4,5,5,6,6,5,4,4
23,Guess,20,M,4,5,3,5,7,4,6,6,6,5,1,5
25,Guess,19,F,1,1,1,7,4,6,7,6,7,7,1,1
27,Guess,30,M,2,4,4,1,5,4,7,4,6,6,2,4
29,Guess,25,F,1,3,3,3,3,3,5,2,5,5,2,2
31,Guess,25,M,1,1,4,6,7,7,7,6,6,6,2,5